ue_id,slice_type,ru_choice,num_rb_alloc,max_rb,power_alloc_w,power_per_rb_w,snr_linear,snr_db,throughput_mbps,r_min_mbps,ru_power_remaining_w,max_power_effective_w,max_snr_db,max_throughput_mbps,success,reason
48,uRLLC,5,7,10,7.981049,1.140149857142857,242549.6768014006,53.84800700263003,45.07757523259194,5.0,19.95262314968879,19.952623,56.2783875983244,67.30300471917246,True,"(np.float64(45077575.23259194), 4.6698098631570846e-05, np.float64(243418906.2559965), np.float64(146051343.75359792))"
31,eMBB,2,7,10,15.962099,2.280299857142857,63397.44974045786,48.020717880722216,40.19944305545606,50.0,19.95262314968879,19.952623,47.44079824769821,56.73426502076512,False,insufficient_throughput (40199443.06 < 50000000.00)
23,uRLLC,6,6,10,1.995262,0.3325436666666667,81875.81807968508,49.13155652367387,35.25372161979767,5.0,19.95262314968879,19.952623,56.91306968049892,68.06201562195902,True,"(np.float64(35253721.61979768), 5.932982016629061e-05, np.float64(190370096.74690747), np.float64(114222058.04814447))"
8,eMBB,0,7,10,17.957361,2.5653372857142855,452207.9776931292,56.553382197464984,47.342307873666634,50.0,19.95262314968879,19.952623,55.46193743066003,66.32661929987977,False,insufficient_throughput (47342307.87 < 50000000.00)
7,eMBB,5,10,10,11.971574,1.1971574,346092.7771479024,55.39192535793573,66.2428925141692,50.0,11.971574149688792,11.971574149688792,55.39192541223855,66.24289257910944,True,"(np.float64(66242892.514169194), 0.00021372951548989243, np.float64(347775185.69938827), np.float64(208665111.41963297))"
32,eMBB,1,8,10,15.962099,1.995262375,169454.56701588284,52.29053278119213,50.027176822979975,50.0,19.95262314968879,19.952623,52.29053261794499,62.533970833499836,True,"(np.float64(50027176.82297997), 0.0002840306303764316, np.float64(262642678.3206449), np.float64(157585606.9923869))"
35,eMBB,6,5,10,15.962099,3.1924198,157353.37814914752,51.968760710228985,31.07458403001622,50.0,17.95736114968879,17.95736114968879,49.46998592357201,59.160923671644035,False,insufficient_throughput (31074584.03 < 50000000.00)
41,uRLLC,2,6,10,15.962099,2.6603498333333335,689184.7392971754,58.38335652246094,41.89219197965218,5.0,19.95262314968879,19.952623,57.133968993130814,68.32618728545586,True,"(np.float64(41892191.97965218), 5.0202495460987184e-05, np.float64(226217836.69012177), np.float64(135730702.01407307))"
27,uRLLC,3,4,10,7.981049,1.99526225,142099.51164437982,51.525925853833776,24.647835201936452,5.0,19.95262314968879,19.952623,51.5259259626652,61.61958813499107,True,"(np.float64(24647835.201936454), 8.584929493685231e-05, np.float64(133098310.09045686), np.float64(79858986.05427411))"
20,eMBB,1,9,10,1.995262,0.2216957777777778,50985.34760615671,47.074453845668785,50.66654773218345,50.0,3.99052414968879,3.99052414968879,49.62717905961031,59.34890793194992,True,"(np.float64(50666547.73218346), 0.0002790042275735408, np.float64(265999375.59396315), np.float64(159599625.3563779))"
44,eMBB,2,10,10,1.995262,0.19952620000000001,37523.98740853717,45.74308981559726,54.70403028228348,50.0,3.99052414968879,3.99052414968879,48.753389935145535,58.30396127339141,True,"(np.float64(54704030.282283485), 0.00025885487954368955, np.float64(287196158.9819883), np.float64(172317695.389193))"
1,eMBB,4,7,10,15.962099,2.280299857142857,657693.0451655891,58.18023249397378,48.704183847769706,50.0,19.95262314968879,19.952623,57.60031286094978,68.88388414911462,False,insufficient_throughput (48704183.85 < 50000000.00)
43,uRLLC,3,5,10,7.981049,1.5962098,301562.2607142178,54.793769904169274,32.763782071813814,5.0,11.971574149688792,11.971574149688792,53.5443827737748,64.03343516894316,True,"(np.float64(32763782.071813814), 6.390610791349029e-05, np.float64(176924423.18779463), np.float64(106154653.91267675))"
30,eMBB,2,6,10,1.995262,0.3325436666666667,791728.3330083255,58.98576186999831,42.3244391996956,50.0,1.99526214968879,1.99526214968879,56.767274699651665,67.88766062343194,False,insufficient_throughput (42324439.20 < 50000000.00)
34,eMBB,2,3,10,1.995262,0.6650873333333334,136841.9160608622,51.362191465480564,18.427134125336995,50.0,1.99526214968879,1.99526214968879,46.1334043384941,55.170793226425175,False,insufficient_throughput (18427134.13 < 50000000.00)
37,eMBB,2,7,10,1.995262,0.2850374285714286,36066.68183714841,45.57106188725244,38.148816081415596,50.0,1.99526214968879,1.99526214968879,44.022042613211944,52.64590736857233,False,insufficient_throughput (38148816.08 < 50000000.00)
